route,direction,weekday,hour,2013,2014,2015,2016,2017
I-93 South of Boston,Northbound,weekend,6 PM,12.8,13.89,14.42,15.34,16.54
I-93 South of Boston,Northbound,weekend,7 PM,11.36,12.24,12.09,12.48,13.69
I-93 South of Boston,Northbound,weekend,8 PM,11.15,11.22,11.57,11.84,12.6
I-93 South of Boston,Northbound,weekend,9 PM,11.64,11.48,12.24,12.44,12.2
I-93 South of Boston,Southbound,"Tue, Wed, Thu",6 AM,10.48,10.4,10.63,11.17,11.12
I-93 South of Boston,Southbound,"Tue, Wed, Thu",7 AM,11.99,11.77,12.43,14.28,13.8
I-93 South of Boston,Southbound,"Tue, Wed, Thu",8 AM,14.75,14.13,15.8,18.35,18.01
I-93 South of Boston,Southbound,"Tue, Wed, Thu",9 AM,12.59,13.19,14.16,15.7,18.33
I-93 South of Boston,Southbound,"Tue, Wed, Thu",10 AM,12.89,13.65,15.24,17.5,17.46
I-93 South of Boston,Southbound,"Tue, Wed, Thu",11 AM,14.15,15.63,15.96,16.78,17.34
I-93 South of Boston,Southbound,"Tue, Wed, Thu",12 PM,11.75,11.69,13.22,13.5,14.18
I-93 South of Boston,Southbound,"Tue, Wed, Thu",1 PM,13.62,12.14,13.87,15.82,15.81
I-93 South of Boston,Southbound,"Tue, Wed, Thu",2 PM,20.08,19.22,22.99,25.68,29.63
I-93 South of Boston,Southbound,"Tue, Wed, Thu",3 PM,26.55,27.39,33.19,33.44,38.35
I-93 South of Boston,Southbound,"Tue, Wed, Thu",4 PM,36.28,36.51,41.1,39.82,43.81
I-93 South of Boston,Southbound,"Tue, Wed, Thu",5 PM,39.91,43.18,45.83,43.74,45.36
I-93 South of Boston,Southbound,"Tue, Wed, Thu",6 PM,32.48,34.97,35.13,34.65,36.34
I-93 South of Boston,Southbound,"Tue, Wed, Thu",7 PM,18.98,18.29,18.11,19.63,19.98
I-93 South of Boston,Southbound,"Tue, Wed, Thu",8 PM,12.87,11.7,11.62,13.3,13.21
I-93 South of Boston,Southbound,"Tue, Wed, Thu",9 PM,11.4,11.5,11.48,13.4,12.47
I-93 South of Boston,Southbound,weekend,6 AM,10.23,10.1,10.34,11.17,10.74
I-93 South of Boston,Southbound,weekend,7 AM,10.23,10.21,10.3,11.26,10.87
